,MeetingDate,WasScheduled?,DecidedRate,PreviousRate,NextRate,Sentiment
0,1954-09-22,1,1.06,,1.28,Hold-Hawkish
1,1954-12-07,1,1.28,1.06,1.39,Hawkish
2,1955-01-11,1,1.39,1.28,1.35,Hawkish
3,1955-03-02,1,1.35,1.39,1.43,Hold-Hawkish
4,1955-05-10,1,1.43,1.35,1.64,Hold-Hawkish
5,1955-06-22,1,1.64,1.43,1.68,Hawkish
6,1955-07-12,1,1.68,1.64,1.96,Hold-Hawkish
7,1955-08-02,1,1.96,1.68,1.96,Hawkish
8,1955-08-23,1,1.96,1.96,2.18,Hold-Hawkish
9,1955-09-14,1,2.18,1.96,2.18,Hawkish
10,1955-09-26,0,2.18,2.18,2.24,Hold-Hawkish
11,1955-10-04,1,2.24,2.18,2.24,Hold
12,1955-10-25,1,2.24,2.24,2.35,Hold-Hawkish
13,1955-11-16,1,2.35,2.24,2.35,Hawkish
14,1955-11-30,0,2.35,2.35,2.48,Hold-Hawkish
15,1955-12-08,0,2.48,2.35,2.48,Hawkish
16,1955-12-13,1,2.48,2.48,2.45,Hold-Doveish
17,1956-01-10,1,2.45,2.48,2.45,Hold
18,1956-01-24,1,2.45,2.45,2.5,Hold-Hawkish
19,1956-02-15,1,2.5,2.45,2.5,Hold
20,1956-03-06,1,2.5,2.5,2.5,Hold
21,1956-03-27,1,2.5,2.5,2.62,Hold-Hawkish
22,1956-04-17,1,2.62,2.5,2.62,Hawkish
23,1956-04-18,1,2.62,2.62,2.75,Hold-Hawkish
24,1956-05-09,1,2.75,2.62,2.75,Hawkish
25,1956-05-23,1,2.75,2.75,2.71,Hold-Doveish
26,1956-06-05,1,2.71,2.75,2.71,Hold
27,1956-06-26,1,2.71,2.71,2.75,Hold-Hawkish
28,1956-07-17,1,2.75,2.71,2.73,Hold-Doveish
29,1956-08-07,1,2.73,2.75,2.73,Hold
30,1956-08-21,1,2.73,2.73,2.95,Hold-Hawkish
31,1956-09-11,1,2.95,2.73,2.95,Hawkish
32,1956-09-25,1,2.95,2.95,2.96,Hold-Hawkish
33,1956-10-16,1,2.96,2.95,2.88,Hold-Doveish
34,1956-11-13,1,2.88,2.96,2.88,Hold
35,1956-11-27,1,2.88,2.88,2.94,Hold-Hawkish
36,1956-12-10,1,2.94,2.88,2.84,Hold-Doveish
37,1957-01-08,1,2.84,2.94,2.84,Doveish
38,1957-01-28,1,2.84,2.84,3.0,Hold-Hawkish
39,1957-02-18,1,3.0,2.84,2.96,Hawkish
40,1957-03-05,1,2.96,3.0,2.96,Hold
41,1957-03-26,1,2.96,2.96,3.0,Hold-Hawkish
42,1957-04-16,1,3.0,2.96,3.0,Hold
43,1957-04-24,0,3.0,3.0,3.0,Hold
44,1957-05-07,1,3.0,3.0,3.0,Hold
45,1957-05-28,1,3.0,3.0,3.0,Hold
46,1957-06-18,1,3.0,3.0,2.99,Hold-Doveish
47,1957-07-09,1,2.99,3.0,2.99,Hold
48,1957-07-30,1,2.99,2.99,3.24,Hold-Hawkish
49,1957-08-20,1,3.24,2.99,3.47,Hawkish
50,1957-09-10,1,3.47,3.24,3.5,Hawkish
51,1957-10-01,1,3.5,3.47,3.5,Hold
52,1957-10-22,1,3.5,3.5,3.28,Hold-Doveish
53,1957-11-12,1,3.28,3.5,2.98,Doveish
54,1957-12-03,1,2.98,3.28,2.98,Doveish
55,1957-12-17,1,2.98,2.98,2.72,Hold-Doveish
56,1958-01-07,1,2.72,2.98,2.72,Doveish
57,1958-01-28,1,2.72,2.72,1.67,Hold-Doveish
58,1958-02-11,1,1.67,2.72,1.2,Doveish
59,1958-03-04,1,1.2,1.67,1.2,Doveish
60,1958-03-25,1,1.2,1.2,1.26,Hold-Hawkish
61,1958-04-15,1,1.26,1.2,0.63,Hold-Doveish
62,1958-05-06,1,0.63,1.26,0.63,Doveish
63,1958-05-27,1,0.63,0.63,0.93,Hold-Hawkish
64,1958-06-17,1,0.93,0.63,0.68,Hawkish
65,1958-07-08,1,0.68,0.93,0.68,Doveish
66,1958-07-15,0,0.68,0.68,0.68,Hold
67,1958-07-18,0,0.68,0.68,0.68,Hold
68,1958-07-21,0,0.68,0.68,0.68,Hold
69,1958-07-22,0,0.68,0.68,0.68,Hold
70,1958-07-23,0,0.68,0.68,0.68,Hold
71,1958-07-24,0,0.68,0.68,0.68,Hold
72,1958-07-25,0,0.68,0.68,0.68,Hold
73,1958-07-29,1,0.68,0.68,0.68,Hold
74,1958-07-30,0,0.68,0.68,0.68,Hold
75,1958-07-31,0,0.68,0.68,1.53,Hold-Hawkish
76,1958-08-01,0,1.53,0.68,1.53,Hawkish
77,1958-08-04,0,1.53,1.53,1.53,Hold
78,1958-08-19,1,1.53,1.53,1.76,Hold-Hawkish
79,1958-09-09,1,1.76,1.53,1.76,Hawkish
80,1958-09-30,1,1.76,1.76,1.8,Hold-Hawkish
81,1958-10-21,1,1.8,1.76,2.27,Hold-Hawkish
82,1958-11-10,1,2.27,1.8,2.42,Hawkish
83,1958-12-02,1,2.42,2.27,2.42,Hawkish
84,1958-12-16,1,2.42,2.42,2.48,Hold-Hawkish
85,1959-01-06,1,2.48,2.42,2.48,Hold
86,1959-01-27,1,2.48,2.48,2.43,Hold-Doveish
87,1959-02-10,1,2.43,2.48,2.8,Hold-Hawkish
88,1959-03-03,1,2.8,2.43,2.8,Hawkish
89,1959-03-24,1,2.8,2.8,2.96,Hold-Hawkish
90,1959-04-14,1,2.96,2.8,2.9,Hawkish
91,1959-05-05,1,2.9,2.96,2.9,Hold
92,1959-05-26,1,2.9,2.9,3.39,Hold-Hawkish
93,1959-06-16,1,3.39,2.9,3.47,Hawkish
94,1959-07-07,1,3.47,3.39,3.47,Hold
95,1959-07-28,1,3.47,3.47,3.5,Hold-Hawkish
96,1959-08-18,1,3.5,3.47,3.76,Hold-Hawkish
97,1959-09-01,1,3.76,3.5,3.76,Hawkish
98,1959-09-22,1,3.76,3.76,3.98,Hold-Hawkish
99,1959-10-13,1,3.98,3.76,4.0,Hawkish
100,1959-11-04,1,4.0,3.98,4.0,Hold
101,1959-11-24,1,4.0,4.0,3.99,Hold-Doveish
102,1959-12-15,1,3.99,4.0,3.99,Hold
103,1960-01-12,1,3.99,3.99,3.99,Hold
104,1960-01-26,1,3.99,3.99,3.97,Hold-Doveish
105,1960-02-09,1,3.97,3.99,3.84,Hold-Doveish
106,1960-03-01,1,3.84,3.97,3.84,Doveish
107,1960-03-22,1,3.84,3.84,3.92,Hold-Hawkish
108,1960-04-12,1,3.92,3.84,3.85,Hold-Doveish
109,1960-05-03,1,3.85,3.92,3.85,Hold
110,1960-05-24,1,3.85,3.85,3.32,Hold-Doveish
111,1960-06-14,1,3.32,3.85,3.23,Doveish
112,1960-07-06,1,3.23,3.32,3.23,Hold
113,1960-07-26,1,3.23,3.23,2.98,Hold-Doveish
114,1960-08-16,1,2.98,3.23,2.6,Doveish
115,1960-09-13,1,2.6,2.98,2.47,Doveish
116,1960-10-04,1,2.47,2.6,2.47,Doveish
117,1960-10-25,1,2.47,2.47,2.44,Hold-Doveish
118,1960-11-22,1,2.44,2.47,1.98,Hold-Doveish
119,1960-12-13,1,1.98,2.44,1.45,Doveish
120,1961-01-10,1,1.45,1.98,1.45,Doveish
121,1961-01-24,1,1.45,1.45,2.54,Hold-Hawkish
122,1961-02-07,1,2.54,1.45,2.02,Hawkish
123,1961-03-07,1,2.02,2.54,2.02,Doveish
124,1961-03-28,1,2.02,2.02,1.49,Hold-Doveish
125,1961-04-18,1,1.49,2.02,1.98,Doveish
126,1961-05-09,1,1.98,1.49,1.73,Hawkish
127,1961-06-06,1,1.73,1.98,1.73,Doveish
128,1961-06-20,1,1.73,1.73,1.17,Hold-Doveish
129,1961-07-11,1,1.17,1.73,2.0,Doveish
130,1961-08-01,1,2.0,1.17,2.0,Hawkish
131,1961-08-22,1,2.0,2.0,1.88,Hold-Doveish
132,1961-09-12,1,1.88,2.0,2.26,Doveish
133,1961-10-03,1,2.26,1.88,2.26,Hawkish
134,1961-10-24,1,2.26,2.26,2.61,Hold-Hawkish
135,1961-11-14,1,2.61,2.26,2.33,Hawkish
136,1961-12-05,1,2.33,2.61,2.33,Doveish
137,1961-12-19,1,2.33,2.33,2.15,Hold-Doveish
138,1962-01-09,1,2.15,2.33,2.15,Doveish
139,1962-01-23,1,2.15,2.15,2.37,Hold-Hawkish
140,1962-02-13,1,2.37,2.15,2.85,Hawkish
141,1962-03-06,1,2.85,2.37,2.85,Hawkish
142,1962-03-27,1,2.85,2.85,2.78,Hold-Doveish
143,1962-04-17,1,2.78,2.85,2.36,Hold-Doveish
144,1962-05-08,1,2.36,2.78,2.36,Doveish
145,1962-05-29,1,2.36,2.36,2.68,Hold-Hawkish
146,1962-06-19,1,2.68,2.36,2.68,Hawkish
147,1962-06-21,0,2.68,2.68,2.71,Hold-Hawkish
148,1962-07-10,1,2.71,2.68,2.71,Hold
149,1962-07-31,1,2.71,2.71,2.93,Hold-Hawkish
150,1962-08-21,1,2.93,2.71,2.9,Hawkish
151,1962-09-11,1,2.9,2.93,2.9,Hold
152,1962-10-02,1,2.9,2.9,2.9,Hold
153,1962-10-23,1,2.9,2.9,2.94,Hold-Hawkish
154,1962-11-13,1,2.94,2.9,2.93,Hold-Doveish
155,1962-12-04,1,2.93,2.94,2.93,Hold
156,1962-12-18,1,2.93,2.93,2.92,Hold-Doveish
157,1963-01-08,1,2.92,2.93,2.92,Hold
158,1963-01-29,1,2.92,2.92,3.0,Hold-Hawkish
159,1963-02-12,1,3.0,2.92,2.98,Hold-Doveish
160,1963-03-05,1,2.98,3.0,2.98,Hold
161,1963-03-26,1,2.98,2.98,2.9,Hold-Doveish
162,1963-04-16,1,2.9,2.98,3.0,Hold-Hawkish
163,1963-05-07,1,3.0,2.9,3.0,Hawkish
164,1963-05-28,1,3.0,3.0,2.99,Hold-Doveish
165,1963-06-18,1,2.99,3.0,3.02,Hold-Hawkish
166,1963-07-09,1,3.02,2.99,3.02,Hold
167,1963-07-30,1,3.02,3.02,3.49,Hold-Hawkish
168,1963-08-20,1,3.49,3.02,3.48,Hawkish
169,1963-09-10,1,3.48,3.49,3.5,Hold-Hawkish
170,1963-10-01,1,3.5,3.48,3.5,Hold
171,1963-10-22,1,3.5,3.5,3.48,Hold-Doveish
172,1963-11-12,1,3.48,3.5,3.48,Hold
173,1963-11-26,0,3.48,3.48,3.38,Hold-Doveish
174,1963-12-03,1,3.38,3.48,3.38,Doveish
175,1963-12-17,1,3.38,3.38,3.48,Hold-Hawkish
176,1964-01-07,1,3.48,3.38,3.48,Hawkish
177,1964-01-28,1,3.48,3.48,3.48,Hold
178,1964-02-11,1,3.48,3.48,3.43,Hold-Doveish
179,1964-03-03,1,3.43,3.48,3.43,Hold
180,1964-03-24,1,3.43,3.43,3.47,Hold-Hawkish
181,1964-04-14,1,3.47,3.43,3.5,Hold-Hawkish
182,1964-05-05,1,3.5,3.47,3.5,Hold
183,1964-05-26,1,3.5,3.5,3.5,Hold
184,1964-06-17,1,3.5,3.5,3.42,Hold-Doveish
185,1964-07-07,1,3.42,3.5,3.42,Hold
186,1964-07-28,1,3.42,3.42,3.5,Hold-Hawkish
187,1964-08-18,1,3.5,3.42,3.45,Hold-Doveish
188,1964-09-08,1,3.45,3.5,3.45,Hold
189,1964-09-29,1,3.45,3.45,3.36,Hold-Doveish
190,1964-10-20,1,3.36,3.45,3.52,Hold-Hawkish
191,1964-11-10,1,3.52,3.36,3.52,Hawkish
192,1964-11-24,0,3.52,3.52,3.85,Hold-Hawkish
193,1964-12-01,1,3.85,3.52,3.85,Hawkish
194,1964-12-15,1,3.85,3.85,3.9,Hold-Hawkish
195,1965-01-12,1,3.9,3.85,3.98,Hold-Hawkish
196,1965-02-02,1,3.98,3.9,4.04,Hold-Hawkish
197,1965-03-02,1,4.04,3.98,4.04,Hold
198,1965-03-23,1,4.04,4.04,4.09,Hold-Hawkish
199,1965-04-13,1,4.09,4.04,4.1,Hold-Hawkish
200,1965-05-11,1,4.1,4.09,4.1,Hold
201,1965-05-25,1,4.1,4.1,4.04,Hold-Doveish
202,1965-06-15,1,4.04,4.1,4.09,Hold-Hawkish
203,1965-07-13,1,4.09,4.04,4.12,Hold-Hawkish
204,1965-08-10,1,4.12,4.09,4.12,Hold
205,1965-08-31,1,4.12,4.12,4.01,Hold-Doveish
206,1965-09-08,0,4.01,4.12,4.01,Doveish
207,1965-09-28,1,4.01,4.01,4.08,Hold-Hawkish
208,1965-10-12,1,4.08,4.01,4.1,Hold-Hawkish
209,1965-11-02,1,4.1,4.08,4.1,Hold
210,1965-11-04,0,4.1,4.1,4.1,Hold
211,1965-11-23,1,4.1,4.1,4.32,Hold-Hawkish
212,1965-12-14,1,4.32,4.1,4.42,Hawkish
213,1966-01-11,1,4.42,4.32,4.6,Hold-Hawkish
214,1966-02-08,1,4.6,4.42,4.65,Hawkish
215,1966-03-01,1,4.65,4.6,4.65,Hold
216,1966-03-22,1,4.65,4.65,4.67,Hold-Hawkish
217,1966-04-12,1,4.67,4.65,4.9,Hold-Hawkish
218,1966-05-10,1,4.9,4.67,5.17,Hawkish
219,1966-06-07,1,5.17,4.9,5.17,Hawkish
220,1966-06-28,1,5.17,5.17,5.3,Hold-Hawkish
221,1966-07-11,0,5.3,5.17,5.3,Hawkish
222,1966-07-26,1,5.3,5.3,5.53,Hold-Hawkish
223,1966-08-23,1,5.53,5.3,5.4,Hawkish
224,1966-09-13,1,5.4,5.53,5.53,Doveish
225,1966-10-04,1,5.53,5.4,5.76,Hawkish
226,1966-11-01,1,5.76,5.53,5.76,Hawkish
227,1966-11-22,1,5.76,5.76,5.4,Hold-Doveish
228,1966-12-13,1,5.4,5.76,4.94,Doveish
229,1967-01-10,1,4.94,5.4,5.0,Doveish
230,1967-02-07,1,5.0,4.94,4.53,Hold-Doveish
231,1967-03-07,1,4.53,5.0,4.05,Doveish
232,1967-04-04,1,4.05,4.53,3.94,Doveish
233,1967-05-02,1,3.94,4.05,3.94,Doveish
234,1967-05-23,1,3.94,3.94,3.98,Hold-Hawkish
235,1967-06-20,1,3.98,3.94,3.79,Hold-Doveish
236,1967-07-18,1,3.79,3.98,3.9,Doveish
237,1967-08-15,1,3.9,3.79,3.99,Hawkish
238,1967-09-12,1,3.99,3.9,3.88,Hold-Doveish
239,1967-10-03,1,3.88,3.99,3.88,Doveish
240,1967-10-24,1,3.88,3.88,4.13,Hold-Hawkish
241,1967-11-14,1,4.13,3.88,4.13,Hawkish
242,1967-11-27,1,4.13,4.13,4.51,Hold-Hawkish
243,1967-12-12,1,4.51,4.13,4.6,Hawkish
244,1968-01-09,1,4.6,4.51,4.71,Hold-Hawkish
245,1968-02-06,1,4.71,4.6,5.05,Hawkish
246,1968-03-05,1,5.05,4.71,5.05,Hawkish
247,1968-03-14,0,5.05,5.05,5.76,Hold-Hawkish
248,1968-04-02,1,5.76,5.05,5.76,Hawkish
249,1968-04-19,0,5.76,5.76,5.76,Hold
250,1968-04-30,1,5.76,5.76,6.11,Hold-Hawkish
251,1968-05-28,1,6.11,5.76,6.07,Hawkish
252,1968-06-18,1,6.07,6.11,6.02,Hold-Doveish
253,1968-07-16,1,6.02,6.07,6.03,Hold-Hawkish
254,1968-08-13,1,6.03,6.02,6.03,Hold
255,1968-08-19,0,6.03,6.03,5.78,Hold-Doveish
256,1968-09-10,1,5.78,6.03,5.91,Doveish
257,1968-10-08,1,5.91,5.78,5.91,Hawkish
258,1968-10-29,1,5.91,5.91,5.82,Hold-Doveish
259,1968-11-26,1,5.82,5.91,6.02,Hold-Hawkish
260,1968-12-17,1,6.02,5.82,6.3,Hawkish
261,1969-01-14,1,6.3,6.02,6.61,Hawkish
262,1969-02-04,1,6.61,6.3,6.79,Hawkish
263,1969-03-04,1,6.79,6.61,7.41,Hawkish
264,1969-04-01,1,7.41,6.79,7.41,Hawkish
265,1969-04-29,1,7.41,7.41,8.67,Hold-Hawkish
266,1969-05-27,1,8.67,7.41,8.9,Hawkish
267,1969-06-24,1,8.9,8.67,8.61,Hawkish
268,1969-07-15,1,8.61,8.9,9.19,Doveish
269,1969-08-12,1,9.19,8.61,9.15,Hawkish
270,1969-09-09,1,9.15,9.19,9.0,Hold-Doveish
271,1969-10-07,1,9.0,9.15,9.0,Doveish
272,1969-10-28,1,9.0,9.0,8.85,Hold-Doveish
273,1969-11-25,1,8.85,9.0,8.97,Doveish
274,1969-12-16,1,8.97,8.85,8.98,Hawkish
275,1970-01-15,1,8.98,8.97,8.98,Hold
276,1970-02-10,1,8.98,8.98,7.76,Hold-Doveish
277,1970-03-10,1,7.76,8.98,8.1,Doveish
278,1970-04-07,1,8.1,7.76,7.94,Hawkish
279,1970-05-05,1,7.94,8.1,7.94,Doveish
280,1970-05-26,1,7.94,7.94,7.6,Hold-Doveish
281,1970-06-23,1,7.6,7.94,7.21,Doveish
282,1970-07-21,1,7.21,7.6,6.61,Doveish
283,1970-08-18,1,6.61,7.21,6.29,Doveish
284,1970-09-15,1,6.29,6.61,6.2,Doveish
285,1970-10-20,1,6.2,6.29,5.6,Hold-Doveish
286,1970-11-17,1,5.6,6.2,4.9,Doveish
287,1970-12-15,1,4.9,5.6,4.14,Doveish
288,1971-01-12,1,4.14,4.9,3.72,Doveish
289,1971-02-09,1,3.72,4.14,3.71,Doveish
290,1971-03-09,1,3.71,3.72,4.15,Hold-Hawkish
291,1971-04-06,1,4.15,3.71,4.63,Hawkish
292,1971-05-11,1,4.63,4.15,4.91,Hawkish
293,1971-06-08,1,4.91,4.63,4.91,Hawkish
294,1971-06-29,1,4.91,4.91,5.31,Hold-Hawkish
295,1971-07-27,1,5.31,4.91,5.56,Hawkish
296,1971-08-24,1,5.56,5.31,5.55,Hawkish
297,1971-09-21,1,5.55,5.56,5.2,Hold-Doveish
298,1971-10-19,1,5.2,5.55,4.91,Doveish
299,1971-11-16,1,4.91,5.2,4.14,Doveish
300,1971-12-14,1,4.14,4.91,3.5,Doveish
301,1972-01-11,1,3.5,4.14,3.29,Doveish
302,1972-02-14,1,3.29,3.5,3.29,Doveish
303,1972-02-15,1,3.29,3.29,3.83,Hold-Hawkish
304,1972-03-21,1,3.83,3.29,4.17,Hawkish
305,1972-04-17,1,4.17,3.83,4.17,Hawkish
306,1972-04-18,1,4.17,4.17,4.27,Hold-Hawkish
307,1972-05-23,1,4.27,4.17,4.46,Hold-Hawkish
308,1972-06-19,1,4.46,4.27,4.55,Hawkish
309,1972-07-18,1,4.55,4.46,4.8,Hold-Hawkish
310,1972-08-15,1,4.8,4.55,4.87,Hawkish
311,1972-09-19,1,4.87,4.8,5.04,Hold-Hawkish
312,1972-10-17,1,5.04,4.87,5.06,Hawkish
313,1972-11-20,1,5.06,5.04,5.33,Hold-Hawkish
314,1972-12-19,1,5.33,5.06,5.94,Hawkish
315,1973-01-16,1,5.94,5.33,6.58,Hawkish
316,1973-02-13,1,6.58,5.94,7.09,Hawkish
317,1973-03-07,0,7.09,6.58,7.09,Hawkish
318,1973-03-19,1,7.09,7.09,7.12,Hold-Hawkish
319,1973-04-17,1,7.12,7.09,7.84,Hold-Hawkish
320,1973-05-15,1,7.84,7.12,8.49,Hawkish
321,1973-06-18,1,8.49,7.84,10.4,Hawkish
322,1973-07-09,0,10.4,8.49,10.4,Hawkish
323,1973-07-17,1,10.4,10.4,10.5,Hold-Hawkish
324,1973-08-21,1,10.5,10.4,10.78,Hold-Hawkish
325,1973-09-18,1,10.78,10.5,10.01,Hawkish
326,1973-10-02,0,10.01,10.78,10.01,Doveish
327,1973-10-10,0,10.01,10.01,10.01,Hold
328,1973-10-16,1,10.01,10.01,10.03,Hold-Hawkish
329,1973-11-19,1,10.03,10.01,9.95,Hold-Doveish
330,1973-12-17,1,9.95,10.03,9.65,Hold-Doveish
331,1974-01-21,1,9.65,9.95,8.97,Doveish
332,1974-02-20,1,8.97,9.65,9.35,Doveish
333,1974-03-18,1,9.35,8.97,10.51,Hawkish
334,1974-04-15,1,10.51,9.35,11.31,Hawkish
335,1974-05-21,1,11.31,10.51,11.93,Hawkish
336,1974-06-18,1,11.93,11.31,12.92,Hawkish
337,1974-07-05,0,12.92,11.93,12.92,Hawkish
338,1974-07-16,1,12.92,12.92,12.01,Hold-Doveish
339,1974-08-20,1,12.01,12.92,11.34,Doveish
340,1974-09-10,1,11.34,12.01,10.06,Doveish
341,1974-10-14,1,10.06,11.34,9.45,Doveish
342,1974-11-19,1,9.45,10.06,8.53,Doveish
343,1974-12-16,1,8.53,9.45,7.13,Doveish
344,1975-01-20,1,7.13,8.53,6.24,Doveish
345,1975-02-19,1,6.24,7.13,5.54,Doveish
346,1975-03-18,1,5.54,6.24,5.49,Doveish
347,1975-04-14,1,5.49,5.54,5.22,Hold-Doveish
348,1975-05-20,1,5.22,5.49,5.55,Doveish
349,1975-06-16,1,5.55,5.22,6.1,Hawkish
350,1975-07-15,1,6.1,5.55,6.14,Hawkish
351,1975-08-19,1,6.14,6.1,6.24,Hold-Hawkish
352,1975-09-16,1,6.24,6.14,5.82,Hawkish
353,1975-10-21,1,5.82,6.24,5.22,Doveish
354,1975-11-18,1,5.22,5.82,5.2,Doveish
355,1975-12-16,1,5.2,5.22,4.87,Hold-Doveish
356,1976-01-20,1,4.87,5.2,4.77,Doveish
357,1976-02-17,1,4.77,4.87,4.84,Doveish
358,1976-03-15,1,4.84,4.77,4.84,Hold
359,1976-03-29,1,4.84,4.84,4.82,Hold-Doveish
360,1976-04-20,1,4.82,4.84,5.29,Hold-Hawkish
361,1976-05-18,1,5.29,4.82,5.48,Hawkish
362,1976-06-22,1,5.48,5.29,5.31,Hawkish
363,1976-07-19,1,5.31,5.48,5.29,Doveish
364,1976-08-17,1,5.29,5.31,5.25,Hold-Doveish
365,1976-09-21,1,5.25,5.29,5.02,Hold-Doveish
366,1976-10-19,1,5.02,5.25,4.95,Doveish
367,1976-11-08,0,4.95,5.02,4.95,Hold
368,1976-11-16,1,4.95,4.95,4.65,Hold-Doveish
369,1976-12-20,1,4.65,4.95,4.61,Doveish
370,1977-01-17,1,4.61,4.65,4.68,Hold-Hawkish
371,1977-02-15,1,4.68,4.61,4.69,Hold-Hawkish
372,1977-03-15,1,4.69,4.68,4.73,Hold-Hawkish
373,1977-04-19,1,4.73,4.69,5.35,Hold-Hawkish
374,1977-05-17,1,5.35,4.73,5.35,Hawkish
375,1977-05-27,0,5.35,5.35,5.39,Hold-Hawkish
376,1977-06-21,1,5.39,5.35,5.42,Hold-Hawkish
377,1977-07-19,1,5.42,5.39,5.9,Hold-Hawkish
378,1977-08-16,1,5.9,5.42,6.14,Hawkish
379,1977-09-20,1,6.14,5.9,6.47,Hawkish
380,1977-10-17,1,6.47,6.14,6.51,Hawkish
381,1977-11-15,1,6.51,6.47,6.56,Hold-Hawkish
382,1977-12-19,1,6.56,6.51,6.7,Hold-Hawkish
383,1978-01-05,0,6.7,6.56,6.7,Hawkish
384,1978-01-17,1,6.7,6.7,6.78,Hold-Hawkish
385,1978-02-28,1,6.78,6.7,6.79,Hold-Hawkish
386,1978-03-10,0,6.79,6.78,6.79,Hold
387,1978-03-21,1,6.79,6.79,6.89,Hold-Hawkish
388,1978-04-18,1,6.89,6.79,7.36,Hold-Hawkish
389,1978-05-05,0,7.36,6.89,7.36,Hawkish
390,1978-05-16,1,7.36,7.36,7.6,Hold-Hawkish
391,1978-06-20,1,7.6,7.36,7.81,Hawkish
392,1978-07-18,1,7.81,7.6,8.04,Hawkish
393,1978-08-15,1,8.04,7.81,8.45,Hawkish
394,1978-09-08,0,8.45,8.04,8.45,Hawkish
395,1978-09-19,1,8.45,8.45,8.96,Hold-Hawkish
396,1978-10-17,1,8.96,8.45,9.76,Hawkish
397,1978-11-21,1,9.76,8.96,10.03,Hawkish
398,1978-12-19,1,10.03,9.76,10.07,Hawkish
399,1979-01-12,0,10.07,10.03,10.06,Hold-Doveish
400,1979-02-06,1,10.06,10.07,10.09,Hold-Hawkish
401,1979-03-02,0,10.09,10.06,10.09,Hold
402,1979-03-20,1,10.09,10.09,10.01,Hold-Doveish
403,1979-04-17,1,10.01,10.09,10.01,Hold
404,1979-04-27,0,10.01,10.01,10.24,Hold-Hawkish
405,1979-05-22,1,10.24,10.01,10.29,Hawkish
406,1979-06-27,0,10.29,10.24,10.47,Hold-Hawkish
407,1979-07-11,1,10.47,10.29,10.47,Hawkish
408,1979-07-17,0,10.47,10.47,10.47,Hold
409,1979-07-19,0,10.47,10.47,10.94,Hold-Hawkish
410,1979-08-14,1,10.94,10.47,11.43,Hawkish
411,1979-09-18,1,11.43,10.94,13.77,Hawkish
412,1979-10-05,0,13.77,11.43,13.77,Hawkish
413,1979-10-06,1,13.77,13.77,13.77,Hold
414,1979-10-22,0,13.77,13.77,13.18,Hold-Doveish
415,1979-11-20,1,13.18,13.77,13.82,Doveish
416,1980-01-08,1,13.82,13.18,14.13,Hawkish
417,1980-02-04,1,14.13,13.82,17.19,Hawkish
418,1980-03-07,0,17.19,14.13,17.19,Hawkish
419,1980-03-18,1,17.19,17.19,17.61,Hold-Hawkish
420,1980-04-22,1,17.61,17.19,17.61,Hawkish
421,1980-04-29,0,17.61,17.61,10.98,Hold-Doveish
422,1980-05-06,0,10.98,17.61,10.98,Doveish
423,1980-05-20,1,10.98,10.98,9.47,Hold-Doveish
424,1980-06-05,0,9.47,10.98,9.03,Doveish
425,1980-07-09,1,9.03,9.47,9.03,Doveish
426,1980-07-25,0,9.03,9.03,9.61,Hold-Hawkish
427,1980-08-12,1,9.61,9.03,9.61,Hawkish
428,1980-08-22,0,9.61,9.61,10.87,Hold-Hawkish
